query,confidence,confidence_level,max_similarity,average_similarity,risk_level,risk_categories,escalate,reason,dataset,category,expected_decision,predicted_decision,correct
The Amazon delivery guy also brought cookies for Spike. The cookies are in a box that he can't open so he has raided the dustbin for the bag they were delivered in. Greedy pig. 🙄 https://t.co/VHK4NYzDOc,0.8916,high,0.9112,0.8459,low,,False,safe_for_ai,golden_set,,,,
@115850 maine ek bat order kiya hi kab tak aayega,0.8695,high,0.883,0.8379,low,,False,safe_for_ai,golden_set,,,,
"@116928 sabeis si hay algun problema de inicio de sesion dentro de vuestra pagina web? 
Mas que nada porque no me deja iniciar sesion ni ver mis pedidos",0.9036,high,0.9244,0.855,low,,False,safe_for_ai,golden_set,,,,
@115830 well after holding for over an hour to be told I couldn't be helped I hung up 😩#sortoutyourcallcentresamazon https://t.co/fSpz2hr0BI,0.8716,high,0.8845,0.8416,low,,False,safe_for_ai,golden_set,,,,
@AmazonHelp @115850 when can I expect it to be delivered? https://t.co/oXYA144Ok7,0.9015,high,0.9044,0.8948,low,,False,safe_for_ai,golden_set,,,,
"@AmazonHelp Package due to be delivered today. Two hours ago your tracking page said ""Driver is making 3 deliveries before yours"", now it says there are ""7 deliveries before yours"". Is it being delivered in a DeLorean per chance? #backtothefuture #timemachine",0.9478,high,0.9673,0.9021,low,,False,safe_for_ai,golden_set,,,,
@115830 your movies to rent are not accessible. No subtitles. What's that about?,0.8932,high,0.9148,0.8429,low,,False,safe_for_ai,golden_set,,,,
Hey @115821 how about getting a delivery option that doesn't lie. No package; no note. Been home all morning. https://t.co/3u6VixgBiw,0.8856,high,0.887,0.8824,low,,False,safe_for_ai,golden_set,,,,
@115821 @120533 j'ai souscrit à Labbonement de audible est je n'ai toujours pas reçu le coup' de reduction ( le code ) de 5 euros qui est normalement applicable sur le site ?!,0.9261,high,0.9562,0.8557,low,,False,safe_for_ai,golden_set,,,,
@AmazonHelp Hey guys.. Cloud Sync never finishes syncing. Issue has persisted for months on and off. Desktop app needs an upgrade. https://t.co/leiUfFz5TW,0.9307,high,0.9664,0.8476,low,,False,safe_for_ai,golden_set,,,,
"@115833 The routines option is not working, whatever phrase I enter, the app tells me Alexa cant do that. Even the phrases that are the examples",0.9297,high,0.9482,0.8865,low,,False,safe_for_ai,golden_set,,,,
Tomorrow it will be 25 days since I made this order and final date conveyed to me for delivery. @AmazonHelp @115850 Will it be fulfilled ? https://t.co/ODJtaOmUBQ,0.9431,high,0.9698,0.881,low,,False,safe_for_ai,golden_set,,,,
Where’s the foliage at?! @115821 https://t.co/2XybGAvuOn,0.8433,high,0.8671,0.7876,low,,False,safe_for_ai,golden_set,,,,
Surpassed delivery due date still no Response from Amazon #Fakesellers #untraceabletrakingid #AmazonIndia #Order Id - 171-5675025-6285128 https://t.co/wCcVgcnEzy,0.853,high,0.8534,0.8519,low,,False,safe_for_ai,golden_set,,,,
@132994 @115850 I'm so hurt https://t.co/Qnv1sHJT8F,0.8508,high,0.8661,0.8149,low,,False,safe_for_ai,golden_set,,,,
"#iPhone8AppQuiz
Have you declared the results for iphone 8 app quiz? @AmazonHelp",0.8955,high,0.8978,0.8904,low,,False,safe_for_ai,golden_set,,,,
Help. @AmazonHelp,0.8922,high,0.8939,0.8884,low,,False,safe_for_ai,golden_set,,,,
"thanks for the No Help @115821 you act like it's my 1st time ordering, NOT! https://t.co/idi7fFaQNG",0.9181,high,0.9298,0.8907,low,,False,safe_for_ai,golden_set,,,,
@115850 it seems you delivered the product on the address which was closed for diwali eve. Strange !! Too frustrating,0.9343,high,0.9491,0.8998,low,,False,safe_for_ai,golden_set,,,,
Again I am asking is there any pickup policy of Amazon. How much time does it take to pickup the mobile for return @115850 @amazonHelp https://t.co/vZGMadAm3T,0.9393,high,0.9614,0.8877,low,,False,safe_for_ai,golden_set,,,,
@AmazonHelp faut qu'on parle.,0.8814,high,0.8829,0.8778,low,,False,safe_for_ai,golden_set,,,,
@AmazonHelp how do i collect an order from an amazon locker?,0.8736,high,0.8828,0.8521,low,,False,safe_for_ai,golden_set,,,,
"@AmazonHelp Hola. He empezado por la campaña ""El Camino"" de Alex Hunter. Una pasada disfrutarlo jeje. Gracias por el la Oferta y sobretodo por el servicio de envio rápido 😊😊",0.902,high,0.9121,0.8786,low,,False,safe_for_ai,golden_set,,,,
@AmazonHelp Your Rajendra chat with me he is worthless. I made return package please arrange collection. Thanks,0.8552,high,0.856,0.8533,low,,False,safe_for_ai,golden_set,,,,
@AmazonHelp Form filled. Please respond accordingly,0.9179,high,0.9254,0.9003,low,,False,safe_for_ai,golden_set,,,,
"Looking for an excuse to shop for appliances? Now you have one! Get the best selling home appliances and avail discounts up to 60%. This offer is specially for today, only on Amazon. Shop now: https://t.co/kEJ7w6aC15 https://t.co/SMAXAWJpro",0.7804,medium,0.7833,0.7736,low,,False,safe_for_ai,golden_set,,,,
Eu amo a @117086,0.7755,medium,0.777,0.7719,low,,False,safe_for_ai,golden_set,,,,
"Eh @2600 annoncer une livraison un 26 décembre sur une adresse en Moselle, ça pue l'algorithme développé made in USA or India",0.8437,high,0.8722,0.7773,low,,False,safe_for_ai,golden_set,,,,
"@AmazonHelp la franchement , je suis dégoutée …  je paye un service a 49 euros par an … pour du «  on ne sait jamais «  …. J’ai pas les mots .. https://t.co/5CfU4912LU",0.9316,high,0.941,0.9097,low,,False,safe_for_ai,golden_set,,,,
"@115850....Now two question comes to my mind to use this app or not to use, to call at your customer desk or not to call, i placed 3 order",0.8277,high,0.829,0.8248,low,,False,safe_for_ai,golden_set,,,,
@AmazonHelp Can you please reply to my DM?,0.9329,high,0.9347,0.9287,low,,False,safe_for_ai,golden_set,,,,
@AmazonHelp I am unable to add Amazon gift voucher to my account,0.9272,high,0.9462,0.8829,low,,False,safe_for_ai,golden_set,,,,
"comprei meus livros de harry potter q estavam faltando tudo na black friday por 9,90 😃 quero que chegue logooo @117086",0.9284,high,0.9421,0.8964,low,,False,safe_for_ai,golden_set,,,,
"@115850 even after filling the form sharing all details there is nothing done , same delivery address everything is getting delivered but your @149473 sucks",0.8215,high,0.8228,0.8184,low,,False,safe_for_ai,golden_set,,,,
I'm almost positive the mailman isn't running today @AmazonHelp  but it says my package is still coming and the little meter keeps rising... https://t.co/8EiCs6Wt5Q,0.9309,high,0.9518,0.882,low,,False,safe_for_ai,golden_set,,,,
"届いた〜（｡ӧ◡ӧ｡）
Amazonプライム会員だから
ものっそい安く買えた♡♡
もうほとんど買い揃えた✌︎
後は実家近くの西松屋とかで
おしりふきとか粉ミルク買えばいいや！
15日には荷物全部実家に運ぶから
産休入ったらまとめなきゃ😂 https://t.co/XOz3QHNNGf",0.9014,high,0.908,0.886,low,,False,safe_for_ai,golden_set,,,,
"@AmazonHelp KS i suggest if you check your system before start nagging the customer,I hve already filled my details.",0.8888,high,0.8933,0.8782,low,,False,safe_for_ai,golden_set,,,,
"@115850 your delivery boy calls me saying I’ll get sms of delivery, I received the SMS but not the package. Tracking ID 982100216904",0.8514,high,0.8538,0.8458,low,,False,safe_for_ai,golden_set,,,,
@115821 @115851 the delivery guy today was drunk! These guys amazon uses are scary. Some look like they may rob the package they just delivered!! #Amazon,0.9172,high,0.927,0.8944,low,,False,safe_for_ai,golden_set,,,,
Amazonの使い方が分からない。,0.8767,high,0.8852,0.857,low,,False,safe_for_ai,golden_set,,,,
もアマゾンで荷物頼んだけど今日配達予定だけど郵便の追跡見てみると12月6日になっとるんよね〜,0.8169,high,0.8194,0.8108,low,,False,safe_for_ai,golden_set,,,,
"Oh look, another @AmazonHelp screw-up….  I wonder how their Net Promoter Score is doing lately. Probably piss poor, like their service. https://t.co/gkBb7AytMg",0.8999,high,0.9007,0.8981,low,,False,safe_for_ai,golden_set,,,,
"This festival of prosperity, shop for certified gold from Senco &amp; avail 5-30% off. https://t.co/Yz3pngmntF #DiwaliJewellerySale https://t.co/kOvgWjILW6",0.7748,medium,0.7777,0.7679,low,,False,safe_for_ai,golden_set,,,,
@115850 Not getting the refund amount. It has already been way past the number of days promised. order id  (403-8330313-8873142).,0.8859,high,0.8875,0.8824,medium,financial,True,financial_issue,golden_set,,,,
Amazon lied! Xenoblade is out for delivery and in my area now!!,0.9247,high,0.9367,0.8967,low,,False,safe_for_ai,golden_set,,,,
"Co-worker messaged me picture that @115821 's delivery service left as proof of delivery... where they left his package in front of the door.

Where we work.

Which is a very obvious business.

That is currently closed.

So now we get to see if it's there in the morning.",0.8809,high,0.8938,0.8507,low,,False,safe_for_ai,golden_set,,,,
Disappointed to learn that inline footnotes are broken in the @117634 edition of Death’s End. Weird because the first footnote worked.,0.9048,high,0.9512,0.7963,low,,False,safe_for_ai,golden_set,,,,
@120533 le service au client par telephone c'est horrible.,0.8456,high,0.8625,0.8061,low,,False,safe_for_ai,golden_set,,,,
@115821 @1840 I ordered LG Q6 with one day delivery on 14 Oct. But still not got after 4 days. The worst service I have ever seen &amp; also your call representative not resolve my issue. I called several times &amp; every time they gave me a commitment that was never fulfill till date,0.8453,high,0.8474,0.8404,low,,False,safe_for_ai,golden_set,,,,
"@AmazonHelp Placed an order for 2 day shipping (prime member) and the items have been ""out for delivery""  in the wrong city for 3 days. Please stop using Intelcom for deliveries.",0.951,high,0.9707,0.905,low,,False,safe_for_ai,golden_set,,,,
@115833 @AmazonHelp Hey! How do I delete (not just disable) smart home devices on my Echo?,0.9003,high,0.9236,0.8458,low,,False,safe_for_ai,golden_set,,,,
"@115850 
Dear sir
As i had raised the issue on 14 oct itself ... but unfortunately not acted upon by amazon .. the market share went down https://t.co/PQTJkvLYmf",0.9379,high,0.9575,0.8921,low,,False,safe_for_ai,golden_set,,,,
@115821 I got charged for Amazon Prime even though I don’t have it? I even checked my membership and it’s empty??? How can I get a refund,0.9256,high,0.9373,0.8985,medium,financial,True,financial_issue,golden_set,,,,
@AmazonHelp I am shocked to mention that Amazon being such a company couldn't manage their delivery services. I had ordered One Plus 5T on 21st Nov as a birthday present for my husband and it got delivered to some other person with some different name yesterday evening.,0.9451,high,0.9665,0.8952,low,,False,safe_for_ai,golden_set,,,,
"@115850 @115821 lousy customer care, and abusive delivery guys!! https://t.co/OpNTsOQAef",0.8761,high,0.8786,0.8704,low,,False,safe_for_ai,golden_set,,,,
Dear @119625  can we get modern family too. What's comedy without that??? #justathought #amazonprime #comedy,0.9107,high,0.9344,0.8553,low,,False,safe_for_ai,golden_set,,,,
"Hey @115821 there is a bug in your iOS app. If you are attempting to return an item, and you want to add more items to the return, if you tap “show more” on the more items list, there is no way to get back to the return process.",0.8903,high,0.9422,0.7693,low,,False,safe_for_ai,golden_set,,,,
"@AmazonHelp Unable to get my pipa code.
Please help.",0.833,high,0.8374,0.8227,medium,ambiguous,True,ambiguous_query,golden_set,,,,
@AmazonHelp you hit my account 3 times... why,0.9183,high,0.9319,0.8864,low,,False,safe_for_ai,golden_set,,,,
アマゾンでお菓子買ったのにパソコンが来た… https://t.co/Q4Fh6bKCR2,0.8319,high,0.8383,0.8167,low,,False,safe_for_ai,golden_set,,,,
"Stellt Euch vor,ihr kauft nen @116316 #FireTVStick.Ihr schließt ihn an &amp; schaut @115825 doch am nächsten Tag tut sich nichts mehr.Ihr kontaktiert den Kundenservice &amp; bekommt die Info,mit dir reden wir nicht,da jmd anders auf dem Stick registriert ist.Kaufvertrag? #BGB",0.9279,high,0.9478,0.8815,low,,False,safe_for_ai,golden_set,,,,
"""Je te donne 5 € et tu met 5 étoiles à mon produit sur @2600"". Les vendeurs escrocs chinois continuent d'opérer en cachette (comportement interdit par Amazon). Et après on s'étonne que de la camelotte de merde ait le badge ""Amazon's Choice"" https://t.co/jk9eRemmm2",0.9364,high,0.9519,0.9002,low,,False,safe_for_ai,golden_set,,,,
@AmazonHelp  I did visit moto service center they asked me that our jobsheet is our service denial letter and I sent it to you for 4 https://t.co/5Ku6Ag9D9q please start refund otherwise I will approach high court for protection of my consumer right.,0.9524,high,0.9773,0.8943,medium,financial,True,financial_issue,golden_set,,,,
The bug at Ur payment gateway isn't allowing me to checkout! This is the 4th message I have received @118919 @115850 https://t.co/D7HpfjX3zI,0.9327,high,0.9596,0.8698,medium,financial,True,financial_issue,golden_set,,,,
Anyone else noticed the decline of @115830 customer service lately? they use to be brilliant! speaking on the phone for over an hour trying to simply request a returns label for 1 item which arrived faulty. They keep sending labels for 2 items &amp; nearest drop off is 8 miles away,0.9123,high,0.9295,0.8723,low,,False,safe_for_ai,golden_set,,,,
"Amazon（ @116313 ）アプリのiPad版が縦画面固定になっちゃったのは儂だけではなかったようだ（爆）
すげー使いにくいから戻して欲しい…つか、やっぱアプリのアプデは人柱待ちがBestか。",0.8831,high,0.8871,0.8737,low,,False,safe_for_ai,golden_set,,,,
@AmazonHelp https://t.co/5Uc65tSfMR,0.8923,high,0.8926,0.8917,low,,False,safe_for_ai,golden_set,,,,
"@116928 Hola! A donde puedo seguir el trámite de reintegro de gastos de envío por cambio, quedaron en pasarnos información y nunca recibimos nada.",0.8695,high,0.8796,0.846,low,,False,safe_for_ai,golden_set,,,,
".@115821 I'd prefer if when I have 2 day shipping, and it says it'll be here in 2 days, that I will get it in 2 days. Please don't specify that item(s) will arrive in 2 days if you know they won't. Just saying.",0.8918,high,0.9003,0.8719,low,,False,safe_for_ai,golden_set,,,,
"@AmazonHelp @115821 worst eCommerce website in the world,purchased a Mi MAX2 on no cost EMI but seller is charging the Interest.hate amazon",0.9369,high,0.9609,0.8808,low,,False,safe_for_ai,golden_set,,,,
"@119356 @115821 Placed an order on 20-Nov, at order time the delivery date was promised as 22-Nov. Order confirmation SMS also says 22-Nov. Today a new SMS says 25-Nov. My son's bday is on 23 Nov. What should I tell him when he asks me about his gift? https://t.co/uODv1JuLvx",0.8993,high,0.9278,0.8328,low,,False,safe_for_ai,golden_set,,,,
Oi @117086 estou sem conseguir receber via KDP desde que publiquei meu livro.,0.8273,high,0.8369,0.8049,low,,False,safe_for_ai,golden_set,,,,
"So @115830 have been tasked with delivering 5 parcels today to a newsagents for my collections. Despite coming from the same warehouse, I would assume 1 driver would deliver today. Only 3 items got successfully delivered. 2 items couldn’t find the address.  Allegedly 🤦🏽‍♂️",0.9244,high,0.9456,0.8751,low,,False,safe_for_ai,golden_set,,,,
@115850 Back to back order cancellation by Amazon.  I can gurantee my current order will be cancelled. Amazon had cancelled my 4 orders on the day of delivery.,0.9228,high,0.9346,0.8952,low,,False,safe_for_ai,golden_set,,,,
やはりamazon詐欺であったか,0.7875,medium,0.7888,0.7846,low,,False,safe_for_ai,golden_set,,,,
もやもやさまぁ～ずamazon primeで配信してんのか,0.8266,high,0.8282,0.823,low,,False,safe_for_ai,golden_set,,,,
少し前までAmazonミュージックのプライム会員聴き放題があまりにもひどくて利用しようがなかったが、最近すごく充実していてよく聴いてる。特に最近ペルソナシリーズのサントラがプライム対象になったのは嬉しい。,0.8367,high,0.8388,0.832,low,,False,safe_for_ai,golden_set,,,,
@AmazonHelp on 30th October I found my letter box on the floor like this. After four emails and a frustrating phone call I have still had no contact from Amazon Logistics as to how they will reimburse me for the damage. Please sort it out! https://t.co/6KqeajlV4P,0.9472,high,0.9654,0.9046,low,,False,safe_for_ai,golden_set,,,,
your service is useless @AmazonHelp,0.8745,high,0.8756,0.8719,low,,False,safe_for_ai,golden_set,,,,
Amazon email says 'sorry for problem with your item. For help in returning items..'. It's not broken - I just can't get it!,0.906,high,0.9195,0.8745,low,,False,safe_for_ai,golden_set,,,,
Amazonプライム会員知らん間になってるやん！映画観れるんやな。。勝手に登録されるとかヤバいな,0.8978,high,0.9009,0.8908,low,,False,safe_for_ai,golden_set,,,,
"@116928 ¿Qué pasa que cada vez tardan más en llegar las reservas de mis juegos? PD: soy Prime desde hace dos años PD2: Encima nos queréis subir el precio de la suscripción Prime... Hacerlo cuando vaya a mejor vuestro servicio, no cuando vaya a peor... https://t.co/xUaqm1aM6W",0.9072,high,0.9325,0.8482,low,,False,safe_for_ai,golden_set,,,,
"Hey @115821, i got this email about my account being suspended due to unusual activity... it’s asking me for my SSN... i don’t think this is legit. Can i get some assistance to make sure i can access my account for Christmas shopping? https://t.co/qkDGUymCyM",0.9234,high,0.952,0.8567,medium,account_security,True,account_security,golden_set,,,,
"so yet again @115830 are screwing me over £200+ worth of goods supposedly delivered, I checked all around the house, with 8 neighbours. No one knows anything. Just a shambles of a service.",0.8677,high,0.8932,0.8082,low,,False,safe_for_ai,golden_set,,,,
Fahrrad bei @AmazonHelp bestellt und angesagt war 13. Liefertermin und @134825 kam heute an und nun steht in einen packtup...,0.8643,high,0.8664,0.8596,low,,False,safe_for_ai,golden_set,,,,
"@AmazonHelp I've been trying to get ahold of a product for about two months now. i had an order and it was indefinitely delayed, and i am concerned it may happen again, with the limited edition out of print, will there be anything to help me make sure i get what i buy?",0.9274,high,0.946,0.8839,medium,ambiguous,True,ambiguous_query,golden_set,,,,
"@115830 Hello, I have been incorrectly charged for a product I purchased on https://t.co/05jLowTHUh by the seller Amazon EU S.a.r.L.. I guess there is no way to contact the seller since it was sold by Amazon, at least I haven't been able to find one. Pls, advise.",0.9386,high,0.9573,0.8949,medium,financial,True,financial_issue,golden_set,,,,
"Holy crap @115821, you need to get better CSRs to man your help desk. BTW, since when did ""package delivered"" start meaning ""your package may be delivered within up to 36-hours""?",0.8991,high,0.9156,0.8607,low,,False,safe_for_ai,golden_set,,,,
@115821 2 day shipping they said. It’ll be fast they said. @AmazonHelp https://t.co/Y8vLiJTfgW,0.8974,high,0.9014,0.8878,low,,False,safe_for_ai,golden_set,,,,
"Delivery on my amazon order has been delayed, IT’S A BLOODY ADVENT CALENDAR.",0.8149,high,0.8243,0.7928,low,,False,safe_for_ai,golden_set,,,,
"@AmazonHelp Thing is, I don't want to return the book because I know it will take a long time for you to replace it :( it just looks used https://t.co/ZhXuro0FiD",0.8892,high,0.8943,0.8774,low,,False,safe_for_ai,golden_set,,,,
@118919 The massage show your account locked. Pl unlock or send invoice on mail id __email__,0.8959,high,0.926,0.8257,medium,account_security,True,account_security,golden_set,,,,
"Where is my order @115821.com , doing follow-up with your customer care since 18th Nov but yet not delivered, yesterday your customer support guy promised it by today EOD but still on same page. https://t.co/dSgKtJWLGz",0.9226,high,0.9387,0.885,low,,False,safe_for_ai,golden_set,,,,
Liebes Amazon. Ich bestelle heute einen Artikel bei Ihnen als Expresszustellung für heute! Das haben sie beim Bestellvorgang angegeben. Ich habe bestellt. Nun steht unter meinen Bestellungen Lieferung 25.11 bis 27.11. da es wieder mit eigenen Lieferdienst. Wieso?? @amazonhelp,0.8505,high,0.8525,0.8458,low,,False,safe_for_ai,golden_set,,,,
Where is the @168151 app for @115821 Fire TV stick?!? --Asks the guy stuck in a hospital for several weeks...,0.8531,high,0.8699,0.8139,low,,False,safe_for_ai,golden_set,,,,
@115821 thanks for anothe late game pre order gj,0.8559,high,0.8637,0.8376,low,,False,safe_for_ai,golden_set,,,,
@115850 @AmazonHelp will you help me or not.,0.912,high,0.9123,0.9111,medium,ambiguous,True,ambiguous_query,golden_set,,,,
"Meus mangás de Noragami chegaram e eu to só o surto em pessoa querendo mostrar até pro meu gato, desculpa mundo",0.8596,high,0.8801,0.8117,low,,False,safe_for_ai,golden_set,,,,
@AmazonHelp I paid for next day delivery on Sunday didn't receive my parcel which is a gift but I got this message pardon???????? https://t.co/t8peVsB57r,0.9422,high,0.9566,0.9086,low,,False,safe_for_ai,golden_set,,,,
@115830 I have just been on the phone for 40 minutes to your Customer Service. Most of the time on hold and the rest of the time talking to people who clearly had no clue how to resolve my problem. It's still not resolved. Completely appalling service.,0.8816,high,0.8869,0.8692,low,,False,safe_for_ai,golden_set,,,,
Hi @115850 - I am unable to place an order. Thr product only has 'Schedule Delivery' option and then I get an error message. https://t.co/8Ah6MlCU5C,0.8811,high,0.8866,0.8681,low,,False,safe_for_ai,golden_set,,,,
@115830 your listing showed the item on the left and promised “no wires” what I got was on the right and they want to deduct postage from the refund. Very unimpressed. https://t.co/BS67hqN3yr,0.9205,high,0.95,0.8517,medium,financial,True,financial_issue,golden_set,,,,
